 Data acquisition complete.
Iteration 0: 12.500000000000000000
Iteration 25: .462084361285199918
Iteration 50: .240726501366655299
Iteration 75: .185892383221728963
Iteration 100: .178922556729988358
Iteration 125: .164380762673403069
Iteration 150: .147499805836595499
Iteration 175: .131226701923672806
Iteration 200: .116380775686884874
Iteration 225: .103092966268825137
Iteration 250: .091282119939318562
Iteration 275: .080811074943639483
Iteration 300: .071536761600711429
Iteration 325: .063325356527514032
Iteration 350: .056056019697081183
Iteration 375: .049620994587741052
Iteration 400: .043924633479278441
Iteration 425: .038882182161430023
Iteration 450: .034418587314910098
Iteration 475: .030467402072211769
Iteration 500: .026969804379625373
Iteration 525: .023873723793712998
Iteration 550: .021948941319795523
Iteration 575: .021008447777152384
Iteration 600: .020127312395885610
Iteration 625: .019326778866656014
Iteration 650: .018591260375583119
Iteration 675: .017897562856681759
Iteration 700: .017267797295271947
Iteration 725: .016680126920245897
Iteration 750: .016123017930372185
Iteration 775: .015616106097697369
Iteration 800: .015139293924299579
Iteration 825: .014685523919297339
Iteration 850: .014271987547658682
Iteration 875: .013881090259388884
Iteration 900: .013507995332396661
Iteration 925: .013169082977629643
Iteration 950: .012846525790429553
Iteration 975: .012539857662879683
Iteration 1000: .012261150115147501
Iteration 1025: .011993955890616803
Iteration 1050: .011745187654613076
Iteration 1075: .011514202940142937
Iteration 1100: .011292875378170919
Iteration 1125: .011093625333140622
Iteration 1150: .010901849754867854
Iteration 1175: .010727538774354173
Iteration 1200: .010562133745921187
Iteration 1225: .010411458953315744
Iteration 1250: .010269084070911205
Iteration 1275: .010140998512172317
Iteration 1300: .010019812066135003
Iteration 1325: .009911821111925789
Iteration 1350: .009812102044582716
Iteration 1375: .009720315682868019
Iteration 1400: .009639543059590139
Iteration 1425: .009566975299286185
Iteration 1450: .009502248926862578
Iteration 1475: .009445461738366134
Iteration 1500: .009396511965213961
Iteration 1525: .009355119016712266
Iteration 1550: .009320844394641981
Iteration 1575: .009293617956817712
Iteration 1600: .009273576138040696
Iteration 1625: .009260080123452141
Iteration 1650: .009253152681266030
Iteration 1675: .009251804255958618
Iteration 1700: .009249099440284070
Iteration 1725: .009243514365952166
Iteration 1750: .009235218853635985
Iteration 1775: .009224374090187837
Iteration 1800: .009211133002029470
Iteration 1825: .009195640621703305
Iteration 1850: .009178034446140515
Iteration 1875: .009158444785398956
Iteration 1900: .009136995101002299
Iteration 1925: .009113802333219567
Iteration 1950: .009088977216887173
Iteration 1975: .009062624585443046
Iteration 2000: .009034843663133785
Iteration 2025: .009005728345274022
Iteration 2050: .008975367466780071
Iteration 2075: .008943845059004474
Iteration 2100: .008911240595169900
Iteration 2125: .008877629224652850
Iteration 2150: .008843081996397828
Iteration 2175: .008807666071813713
Iteration 2200: .008771444927504035
Iteration 2225: .008734478548140245
Iteration 2250: .008696823609920301
Iteration 2275: .008658533654934075
Iteration 2300: .008619659256826395
Iteration 2325: .008580248178100547
Iteration 2350: .008540345519470804
Iteration 2375: .008499993861573074
Iteration 2400: .008459233399419119
Iteration 2425: .008418102069898126
Iteration 2450: .008376635672666666
Iteration 2475: .008334867984782335
Iteration 2500: .008292830869299550
Iteration 2525: .008250554378193442
Iteration 2550: .008208066849903162
Iteration 2575: .008165395001679343
Iteration 2600: .008122564017092770
Iteration 2625: .008079597628871227
Iteration 2650: .008036518197396703
Iteration 2675: .007993346784964217
Iteration 2700: .007950103226125549
Iteration 2725: .007906806194277749
Iteration 2750: .007863473264663412
Iteration 2775: .007820120974070477
Iteration 2800: .007776764877249320
Iteration 2825: .007733419600391755
Iteration 2850: .007690098891654173
Iteration 2875: .007646815669048124
Iteration 2900: .007603582065708991
Iteration 2925: .007560409472766594
Iteration 2950: .007517308579853221
Iteration 2975: .007474289413497814
Iteration 3000: .007431361373409828
Iteration 3025: .007388533266812658
Iteration 3050: .007345813340940310
Iteration 3075: .007303209313775483
Iteration 3100: .007260728403117866
Iteration 3125: .007218377354096361
Iteration 3150: .007176162465199809
Iteration 3175: .007134089612872430
Iteration 3200: .007092164274823176
Iteration 3225: .007050391552041901
Iteration 3250: .007008776189639576
Iteration 3275: .006967322596540981
Iteration 3300: .006926034864179087
Iteration 3325: .006884916784041906
Iteration 3350: .006843971864444853
Iteration 3375: .006803203346251507
Iteration 3400: .006762614217816321
Iteration 3425: .006722207229071131
Iteration 3450: .006681984904940208
Iteration 3475: .006641949557856464
Iteration 3500: .006602103299833573
Iteration 3525: .006562448053632153
Iteration 3550: .006522985563563566
Iteration 3575: .006483717405458833
Iteration 3600: .006444644996371096
Iteration 3625: .006405769603421874
Iteration 3650: .006367092352579817
Iteration 3675: .006328614236480234
Iteration 3700: .006290336122333429
Iteration 3725: .006252258758863150
Iteration 3750: .006214382783443995
Iteration 3775: .006176708728247604
Iteration 3800: .006139237026676625
