Data acquisition complete.
Iteration 0: 12.500000000000000000
Iteration 25: 0.462084361285201695
Iteration 50: 0.240726501366651746
Iteration 75: 0.185892383221728963
Iteration 100: 0.178922556729986582
Iteration 125: 0.164380762673401293
Iteration 150: 0.147499805836595499
Iteration 175: 0.131226701923672806
Iteration 200: 0.116380775686884874
Iteration 225: 0.103092966268828690
Iteration 250: 0.091282119939318562
Iteration 275: 0.080811074943639483
Iteration 300: 0.071536761600711429
Iteration 325: 0.063325356527514032
Iteration 350: 0.056056019697074078
Iteration 375: 0.049620994587741052
Iteration 400: 0.043924633479264230
Iteration 425: 0.038882182161430023
Iteration 450: 0.034418587314910098
Iteration 475: 0.030467402072218874
Iteration 500: 0.026969804379632478
Iteration 525: 0.023873723793705892
Iteration 550: 0.021948941319795523
Iteration 575: 0.021008447777152384
Iteration 600: 0.020127312395882058
Iteration 625: 0.019326778866656014
Iteration 650: 0.018591260375584895
Iteration 675: 0.017897562856681759
Iteration 700: 0.017267797295271947
Iteration 725: 0.016680126920247673
Iteration 750: 0.016123017930372185
Iteration 775: 0.015616106097697369
Iteration 800: 0.015139293924297803
Iteration 825: 0.014685523919293786
Iteration 850: 0.014271987547658682
Iteration 875: 0.013881090259388884
Iteration 900: 0.013507995332393108
Iteration 925: 0.013169082977631419
Iteration 950: 0.012846525790427776
Iteration 975: 0.012539857662879683
Iteration 1000: 0.012261150115147501
Iteration 1025: 0.011993955890616803
Iteration 1050: 0.011745187654611300
Iteration 1075: 0.011514202940141161
Iteration 1100: 0.011292875378170919
Iteration 1125: 0.011093625333142398
Iteration 1150: 0.010901849754869630
Iteration 1175: 0.010727538774354173
Iteration 1200: 0.010562133745921187
Iteration 1225: 0.010411458953315744
Iteration 1250: 0.010269084070911205
Iteration 1275: 0.010140998512172317
Iteration 1300: 0.010019812066135003
Iteration 1325: 0.009911821111924013
Iteration 1350: 0.009812102044582716
Iteration 1375: 0.009720315682868019
Iteration 1400: 0.009639543059588362
Iteration 1425: 0.009566975299286185
Iteration 1450: 0.009502248926862578
Iteration 1475: 0.009445461738366134
Iteration 1500: 0.009396511965213961
Iteration 1525: 0.009355119016710489
Iteration 1550: 0.009320844394640204
Iteration 1575: 0.009293617956817712
Iteration 1600: 0.009273576138042472
Iteration 1625: 0.009260080123452141
Iteration 1650: 0.009253152681266030
Iteration 1675: 0.009251804255956841
Iteration 1700: 0.009249099440282293
Iteration 1725: 0.009243514365950389
Iteration 1750: 0.009235218853632432
Iteration 1775: 0.009224374090186060
Iteration 1800: 0.009211133002027694
Iteration 1825: 0.009195640621701529
Iteration 1850: 0.009178034446140515
Iteration 1875: 0.009158444785400732
Iteration 1900: 0.009136995101002299
Iteration 1925: 0.009113802333219567
Iteration 1950: 0.009088977216885397
Iteration 1975: 0.009062624585443046
Iteration 2000: 0.009034843663132008
Iteration 2025: 0.009005728345274022
Iteration 2050: 0.008975367466780071
Iteration 2075: 0.008943845059006250
Iteration 2100: 0.008911240595168124
Iteration 2125: 0.008877629224652850
Iteration 2150: 0.008843081996396052
Iteration 2175: 0.008807666071813713
Iteration 2200: 0.008771444927504035
